,V0,alpha,tau,sigma,t0
V1,0.281962418,0.149720582,3.169876221,0.097270317,4.175872958
V2,0.762531652,0.171785225,5.044745035,0.112203596,4.900278129
V3,1.124331408,0.204595246,5.598174657,0.240659334,6.229838009
V4,0.518534549,0.155453981,4.216433521,0.101149538,4.195434622
V5,0.238217662,0.143828417,2.862960484,0.097521369,4.180793241
V6,0.97858915,0.181656996,5.444534564,0.133476729,7.32064231
V7,0.644351358,0.167616059,4.767215873,0.100886458,4.364184612
V8,0.262476595,0.146174905,2.919948022,0.09794429,4.287077115
V9,0.15391886,0.148773975,2.665071843,0.097643803,4.699002536
V10,0.724314682,0.173528189,4.977181737,0.10539604,4.660350597
V11,0.745038471,0.169787861,5.21504689,0.110715199,4.988751836
V12,0.184042838,0.148047058,2.977611444,0.096476748,4.474629544
V13,0.166191017,0.148862915,2.903636201,0.099297353,4.494221492
V14,0.191951208,0.148115548,1.482300364,0.101156555,4.709434788
V15,0.199559782,0.140627578,3.100632176,0.09757918,4.349174535
V16,1.123631255,0.20218538,5.249979634,0.162065037,7.68839898
V17,0.803838412,0.134653304,3.668555925,0.28276443,7.354649803
V18,0.944225511,0.175812116,5.463754881,0.216276896,7.316208501
V19,0.244159638,0.151270092,2.991734374,0.094272585,4.231769472
V20,0.925296618,0.18773412,5.519122727,0.163877167,5.999420775
